Date,Rain,tMin,tMax
1951-01-01,0.0,8.7,23.26
1951-01-02,0.0,8.83,22.89
1951-01-03,1.7154,9.23,23.25
1951-01-04,0.0,8.98,23.13
1951-01-05,0.0,9.01,23.47
1951-01-06,0.0,9.92,23.59
1951-01-07,0.0,9.5,23.44
1951-01-08,0.0,8.8,23.63
1951-01-09,0.0,8.91,23.57
1951-01-10,0.0,9.38,23.28
1951-01-11,0.0,8.53,22.97
1951-01-12,0.0,8.75,22.72
1951-01-13,0.0,9.82,23.31
1951-01-14,0.0,9.9,23.72
1951-01-15,0.0,10.38,24.04
1951-01-16,0.0,10.22,24.04
1951-01-17,0.0,11.57,24.17
1951-01-18,0.0,10.5,22.32
1951-01-19,0.0,8.83,22.27
1951-01-20,0.0,8.22,22.86
1951-01-21,0.0,9.41,22.23
1951-01-22,0.0,8.91,23.26
1951-01-23,0.0,8.1,22.45
1951-01-24,0.0,7.49,22.14
1951-01-25,0.0,6.75,21.91
1951-01-26,0.0,6.9,21.91
1951-01-27,0.0,7.3,22.27
1951-01-28,0.0,7.04,22.9
1951-01-29,0.0,7.91,23.56
1951-01-30,0.0,7.84,23.34
1951-01-31,0.0,8.74,23.82
1951-02-01,0.0,9.15,24.35
1951-02-02,0.0,10.17,24.84
1951-02-03,0.0,9.71,25.37
1951-02-04,0.0,8.8,25.21
1951-02-05,0.0,9.0,24.76
1951-02-06,0.0,10.51,25.82
1951-02-07,0.0,10.3,25.09
1951-02-08,0.0,10.22,25.62
1951-02-09,0.0,10.7,24.79
1951-02-10,0.0,11.1,24.79
1951-02-11,0.0,12.37,25.69
1951-02-12,0.0,12.77,26.97
1951-02-13,0.0,10.14,26.33
1951-02-14,0.0,8.72,25.09
1951-02-15,0.0,10.27,24.49
1951-02-16,0.0,9.45,23.7
1951-02-17,0.0,9.18,24.31
1951-02-18,0.0,9.97,25.06
1951-02-19,0.0,10.91,25.98
1951-02-20,0.0,12.13,27.02
1951-02-21,0.0,11.98,26.15
1951-02-22,0.0,11.28,26.42
1951-02-23,0.0,13.67,28.21
1951-02-24,0.0,13.44,27.73
1951-02-25,0.0,12.78,27.13
1951-02-26,0.0,13.76,27.9
1951-02-27,0.0,12.92,28.56
1951-02-28,0.0,12.92,28.7
1951-03-01,0.0,12.23,29.0
1951-03-02,0.0,13.89,28.9
1951-03-03,0.0,14.62,29.85
1951-03-04,0.0,14.33,29.56
1951-03-05,0.0,14.34,29.16
1951-03-06,0.0,15.3,29.68
1951-03-07,0.0,15.84,30.14
1951-03-08,0.0,16.83,30.73
1951-03-09,0.0,16.8,31.12
1951-03-10,0.0,17.23,31.54
1951-03-11,0.0,17.32,31.31
1951-03-12,0.0,17.69,32.36
1951-03-13,0.0,16.91,30.84
1951-03-14,0.0,17.01,32.09
1951-03-15,0.0,14.88,31.4
1951-03-16,0.0,15.18,31.77
1951-03-17,0.0,15.67,30.84
1951-03-18,15.5192,16.28,29.64
1951-03-19,1.7615,17.13,30.18
1951-03-20,1.971,17.14,27.23
1951-03-21,0.0,16.26,26.05
1951-03-22,0.0,16.18,27.74
1951-03-23,1.0209,15.2,27.29
1951-03-24,0.0,16.53,28.51
1951-03-25,0.0,17.44,29.53
1951-03-26,0.0,17.28,28.93
1951-03-27,0.0,16.38,25.7
1951-03-28,0.0,17.97,27.92
1951-03-29,0.4123,17.48,29.71
1951-03-30,0.1671,17.49,29.21
1951-03-31,0.4057,15.58,24.86
1951-04-01,2.8949,15.98,23.22
1951-04-02,0.434,15.87,26.8
1951-04-03,0.4688,17.91,28.65
1951-04-04,0.0,18.73,28.16
1951-04-05,0.0,19.03,29.67
1951-04-06,0.0,20.01,31.32
1951-04-07,0.0,20.67,31.95
1951-04-08,0.0,20.56,33.53
1951-04-09,0.0,20.72,33.65
1951-04-10,0.0,19.7,32.83
1951-04-11,0.0,16.37,30.79
1951-04-12,0.0,17.23,30.97
1951-04-13,0.0,16.93,31.39
1951-04-14,5.3654,16.89,31.71
1951-04-15,5.5257,18.2,32.2
1951-04-16,0.0,18.09,32.02
1951-04-17,0.0,19.75,30.17
1951-04-18,0.3323,19.7,32.39
1951-04-19,2.4201,19.49,31.27
1951-04-20,40.7749,17.52,28.44
1951-04-21,7.6269,16.14,27.83
1951-04-22,8.4013,17.18,29.16
1951-04-23,18.2903,16.78,29.18
1951-04-24,24.7491,16.83,28.26
1951-04-25,18.1852,17.9,27.96
1951-04-26,20.562,19.16,27.84
1951-04-27,13.9561,19.4,30.19
1951-04-28,2.4752,18.35,30.73
1951-04-29,0.1038,18.75,30.15
1951-04-30,0.0,18.17,29.07
1951-05-01,0.0,17.92,28.06
1951-05-02,0.1715,18.64,28.73
1951-05-03,0.0,17.5,28.19
1951-05-04,0.0,19.5,30.04
1951-05-05,0.0,20.16,30.06
1951-05-06,0.0,19.39,29.98
1951-05-07,0.0,20.13,31.75
1951-05-08,0.0,21.45,32.23
1951-05-09,7.2074,21.89,32.33
1951-05-10,0.0,21.24,28.95
1951-05-11,0.0,20.65,30.93
1951-05-12,0.0,20.03,31.86
1951-05-13,3.0594,21.77,31.47
1951-05-14,30.1545,21.07,32.24
1951-05-15,10.8376,20.6,29.51
1951-05-16,7.4466,22.72,31.46
1951-05-17,0.0,23.04,30.21
1951-05-18,0.0,23.53,32.99
1951-05-19,0.0,22.35,32.2
1951-05-20,8.3764,20.28,31.34
1951-05-21,10.6655,19.6,29.74
1951-05-22,15.5759,18.99,27.86
1951-05-23,8.5798,19.43,27.54
1951-05-24,6.9438,19.7,28.56
1951-05-25,5.9589,21.09,30.08
1951-05-26,0.0,21.26,31.03
1951-05-27,0.8873,21.87,32.18
1951-05-28,7.4322,21.55,30.29
1951-05-29,3.783,22.08,30.49
1951-05-30,0.0,20.56,29.81
1951-05-31,1.9144,22.65,31.24
1951-06-01,0.0,22.39,32.32
1951-06-02,0.2607,22.81,32.11
1951-06-03,2.2643,22.24,31.01
1951-06-04,11.2668,23.5,32.16
1951-06-05,31.3845,22.97,30.91
1951-06-06,11.3421,22.14,28.94
1951-06-07,5.4829,22.01,27.28
1951-06-08,2.2552,22.33,27.75
1951-06-09,0.0,21.57,28.11
1951-06-10,0.0,22.09,27.93
1951-06-11,0.0,22.15,28.27
1951-06-12,0.0,22.7,29.09
1951-06-13,1.9718,21.77,29.87
1951-06-14,46.6279,23.22,29.93
1951-06-15,39.4518,23.44,30.05
1951-06-16,18.9588,22.25,28.89
1951-06-17,0.0,22.76,27.74
1951-06-18,0.0,23.26,29.69
1951-06-19,1.3674,23.76,31.08
1951-06-20,20.6963,22.89,29.46
1951-06-21,0.5215,22.09,28.21
1951-06-22,2.9787,22.56,29.07
1951-06-23,12.5454,23.05,30.68
1951-06-24,13.5749,22.67,31.0
1951-06-25,8.8116,23.39,31.35
1951-06-26,0.9666,23.08,31.55
1951-06-27,15.675,22.78,29.83
1951-06-28,15.5611,23.3,29.62
1951-06-29,6.8043,23.52,29.19
1951-06-30,37.976,22.65,29.5
1951-07-01,3.8722,21.6,30.0
1951-07-02,30.4641,21.5,29.84
1951-07-03,7.2414,21.54,29.58
1951-07-04,4.7267,22.45,29.28
1951-07-05,6.7504,22.54,28.77
1951-07-06,0.6107,23.15,28.33
1951-07-07,0.0,22.65,29.14
1951-07-08,3.3073,22.99,29.24
1951-07-09,3.0962,23.66,30.22
1951-07-10,11.2158,23.72,29.82
1951-07-11,14.5122,23.07,29.32
1951-07-12,21.867,22.1,28.8
1951-07-13,22.2143,21.56,26.77
1951-07-14,0.0,22.5,26.99
1951-07-15,30.6802,21.87,28.44
1951-07-16,0.2607,22.81,28.07
1951-07-17,4.6124,21.77,27.11
1951-07-18,0.4391,22.62,28.51
1951-07-19,1.1249,22.94,29.54
1951-07-20,11.574,22.73,30.32
1951-07-21,30.6364,22.88,30.05
1951-07-22,2.0914,23.17,30.91
1951-07-23,10.9509,23.78,31.04
1951-07-24,6.5954,24.85,32.38
1951-07-25,3.3073,24.6,32.87
1951-07-26,2.0927,23.82,31.56
1951-07-27,2.7858,24.09,30.11
1951-07-28,3.7865,23.99,30.29
1951-07-29,0.7288,23.02,29.54
1951-07-30,0.0,23.88,30.45
1951-07-31,8.8377,23.59,29.92
1951-08-01,2.0352,23.32,30.33
1951-08-02,2.3291,22.97,29.73
1951-08-03,2.8303,24.19,31.71
1951-08-04,7.3254,24.49,32.39
1951-08-05,0.0,23.33,31.98
1951-08-06,3.3073,23.02,29.6
1951-08-07,2.1837,23.87,30.98
1951-08-08,0.0,23.28,31.32
1951-08-09,0.0,23.37,31.74
1951-08-10,78.0123,23.69,31.31
1951-08-11,13.1213,23.84,32.27
1951-08-12,16.6292,22.86,29.02
1951-08-13,0.0,23.98,31.24
1951-08-14,4.8337,24.04,30.94
1951-08-15,1.4628,23.58,30.65
1951-08-16,1.0494,22.92,30.61
1951-08-17,2.1944,23.17,31.55
1951-08-18,4.9588,23.98,30.61
1951-08-19,0.0,24.1,30.78
1951-08-20,5.6814,24.37,31.43
1951-08-21,12.0929,23.87,30.77
1951-08-22,21.1569,23.71,29.94
1951-08-23,14.5865,23.31,28.81
1951-08-24,8.5938,22.98,28.01
1951-08-25,14.9278,22.9,27.86
1951-08-26,23.7467,22.83,28.67
1951-08-27,0.8728,22.62,28.24
1951-08-28,10.8872,22.83,29.12
1951-08-29,8.6657,23.09,30.49
1951-08-30,3.6019,22.8,29.52
1951-08-31,0.9666,22.62,29.81
1951-09-01,8.4587,22.33,29.01
1951-09-02,8.2501,23.19,28.75
1951-09-03,1.1467,23.85,30.35
1951-09-04,2.028,23.84,32.07
1951-09-05,7.6262,24.28,32.63
1951-09-06,6.2807,22.98,31.19
1951-09-07,0.0,23.08,30.25
1951-09-08,0.0,23.27,29.87
1951-09-09,0.0,23.29,31.13
1951-09-10,0.0,24.02,32.16
1951-09-11,3.5676,22.83,30.41
1951-09-12,0.0,22.59,27.19
1951-09-13,14.5792,22.57,29.47
1951-09-14,18.0454,22.83,29.37
1951-09-15,11.9029,23.12,29.15
1951-09-16,1.1585,22.91,29.4
1951-09-17,1.2104,22.39,28.26
1951-09-18,11.0801,21.74,28.31
1951-09-19,11.9743,21.44,28.25
1951-09-20,0.0,21.38,28.95
1951-09-21,0.0,21.23,29.29
1951-09-22,0.0,20.89,30.03
1951-09-23,0.0,21.76,30.47
1951-09-24,0.0,22.27,30.76
1951-09-25,0.0,22.53,30.86
1951-09-26,0.0,21.69,31.6
1951-09-27,0.0,21.64,31.35
1951-09-28,0.0,21.46,31.11
1951-09-29,13.8548,22.07,31.58
1951-09-30,2.4616,22.24,31.83
1951-10-01,0.0,22.14,30.6
1951-10-02,22.7933,21.78,27.71
1951-10-03,35.4827,21.49,25.99
1951-10-04,20.7411,21.64,26.03
1951-10-05,11.2576,21.75,26.24
1951-10-06,29.6913,22.35,28.66
1951-10-07,8.9572,22.0,28.93
1951-10-08,0.4391,21.18,28.95
1951-10-09,0.0,21.66,30.14
1951-10-10,5.7994,21.57,30.99
1951-10-11,6.1202,21.12,29.72
1951-10-12,11.8859,21.81,27.92
1951-10-13,7.6886,21.43,28.65
1951-10-14,0.6021,22.63,29.63
1951-10-15,16.3138,21.99,31.02
1951-10-16,3.0535,21.54,28.99
1951-10-17,3.7891,20.96,27.68
1951-10-18,0.0,21.15,28.58
1951-10-19,4.6404,20.4,29.61
1951-10-20,0.0,20.97,29.76
1951-10-21,0.0,20.7,30.04
1951-10-22,0.0,20.26,29.89
1951-10-23,0.0,20.57,30.2
1951-10-24,0.0,20.49,30.01
1951-10-25,0.0,19.72,29.66
1951-10-26,0.0,19.81,30.04
1951-10-27,4.6747,20.04,29.56
1951-10-28,3.7797,19.86,29.27
1951-10-29,0.0,19.76,29.66
1951-10-30,0.0,19.37,29.15
1951-10-31,7.7074,18.79,26.72
1951-11-01,31.5248,18.15,27.59
1951-11-02,0.0,17.88,27.69
1951-11-03,1.6678,18.01,28.31
1951-11-04,3.6077,17.73,27.72
1951-11-05,0.4622,17.46,27.02
1951-11-06,0.0,17.3,27.06
1951-11-07,0.0,17.05,27.67
1951-11-08,0.0,16.75,28.17
1951-11-09,0.0,15.73,28.32
1951-11-10,0.0,15.71,26.89
1951-11-11,0.0,14.67,26.72
1951-11-12,0.0,14.96,27.29
1951-11-13,0.0,15.3,26.7
1951-11-14,0.0,15.19,26.69
1951-11-15,0.0,14.84,26.72
1951-11-16,0.0,14.41,26.59
1951-11-17,0.0,15.76,26.52
1951-11-18,0.0,14.58,26.97
1951-11-19,0.0,15.57,27.08
1951-11-20,0.0,15.57,26.47
1951-11-21,0.0,15.44,26.99
1951-11-22,0.0,15.36,26.45
1951-11-23,0.0,13.29,24.95
1951-11-24,0.0,13.17,25.8
1951-11-25,0.5622,14.2,26.34
1951-11-26,4.698,16.51,25.9
1951-11-27,0.5682,14.05,21.48
1951-11-28,0.0,13.11,22.31
1951-11-29,0.0,11.74,23.59
1951-11-30,0.0,11.47,23.53
1951-12-01,0.0,11.4,23.34
1951-12-02,0.0,12.21,23.67
1951-12-03,0.0,12.15,23.74
1951-12-04,0.0,11.74,25.14
1951-12-05,0.0,12.83,25.82
1951-12-06,0.0,12.09,26.5
1951-12-07,0.0,12.11,26.59
1951-12-08,0.0,11.05,26.08
1951-12-09,0.0,11.52,24.9
1951-12-10,0.0,12.81,25.66
1951-12-11,0.0,14.59,25.57
1951-12-12,0.0,15.33,27.06
1951-12-13,0.0,14.12,26.92
1951-12-14,0.0,12.51,26.48
1951-12-15,2.8767,11.47,26.03
1951-12-16,0.0,10.97,25.12
1951-12-17,0.0,10.44,24.77
1951-12-18,0.0,10.33,23.4
1951-12-19,0.0,9.62,22.82
1951-12-20,0.0,9.68,22.49
1951-12-21,0.0,8.98,23.27
1951-12-22,0.0,9.15,23.11
1951-12-23,0.0,9.16,23.07
1951-12-24,0.0,9.03,23.82
1951-12-25,0.0,9.2,23.54
1951-12-26,0.0,9.64,23.23
1951-12-27,0.0,9.61,22.99
1951-12-28,0.0,9.58,23.05
1951-12-29,0.0,9.43,22.94
1951-12-30,0.0,9.11,22.56
1951-12-31,0.0,9.14,22.66
1952-01-01,0.0,8.88,22.82
1952-01-02,0.0,9.07,22.56
1952-01-03,0.0,9.24,22.65
1952-01-04,0.0,8.89,22.52
1952-01-05,0.0,8.82,22.66
1952-01-06,0.0,8.84,22.65
1952-01-07,0.0,9.04,22.71
1952-01-08,0.0,9.27,23.7
1952-01-09,0.0,9.74,23.39
1952-01-10,0.0,10.89,24.37
1952-01-11,0.0,10.38,23.99
1952-01-12,0.0,9.83,23.6
1952-01-13,0.0,7.88,22.05
1952-01-14,0.0,8.26,22.85
1952-01-15,0.0,7.93,22.96
1952-01-16,0.0,8.89,23.29
1952-01-17,0.0,8.73,23.27
1952-01-18,0.0,9.18,23.37
1952-01-19,0.0,9.39,23.7
1952-01-20,0.0,9.58,25.0
1952-01-21,0.0,10.33,25.33
1952-01-22,0.0,10.44,25.41
1952-01-23,0.0,10.89,25.4
1952-01-24,0.0,10.6,25.39
1952-01-25,0.0,10.77,25.83
1952-01-26,0.0,10.49,25.96
1952-01-27,0.0,9.98,25.53
1952-01-28,0.0,10.36,25.87
1952-01-29,0.0,11.04,25.69
1952-01-30,0.0,10.69,25.52
1952-01-31,0.0,11.59,25.32
1952-02-01,0.0,10.98,24.79
1952-02-02,0.0,11.74,25.49
1952-02-03,0.0,12.9,25.44
1952-02-04,0.0,12.27,24.89
1952-02-05,0.0,11.84,24.85
1952-02-06,0.0,11.98,25.71
1952-02-07,0.0,10.67,25.69
1952-02-08,0.0,11.27,25.66
1952-02-09,0.0,11.17,26.55
