Date,Rain,tMin,tMax
1951-01-01,0.0,9.51,22.86
1951-01-02,0.0,9.44,22.29
1951-01-03,0.0,9.57,22.71
1951-01-04,0.0,9.03,22.52
1951-01-05,0.0,8.71,22.41
1951-01-06,0.0,9.86,22.68
1951-01-07,0.0,9.32,23.17
1951-01-08,0.0,8.66,22.74
1951-01-09,0.0,9.08,22.33
1951-01-10,0.0,9.12,21.47
1951-01-11,0.0,8.74,21.78
1951-01-12,0.0,9.04,21.56
1951-01-13,0.0,9.87,22.02
1951-01-14,0.0,9.71,23.17
1951-01-15,0.0,9.98,22.9
1951-01-16,0.0,10.57,22.86
1951-01-17,0.0,11.75,22.82
1951-01-18,0.4208,11.65,20.57
1951-01-19,0.5616,9.02,21.3
1951-01-20,0.0,10.22,21.86
1951-01-21,0.0,9.94,21.0
1951-01-22,0.0,9.91,22.77
1951-01-23,0.0,9.6,22.03
1951-01-24,0.0,9.01,21.1
1951-01-25,0.0,8.7,21.09
1951-01-26,0.0,8.19,21.25
1951-01-27,0.0,8.46,21.88
1951-01-28,0.0,8.09,22.14
1951-01-29,0.0,8.9,22.21
1951-01-30,0.0,8.97,22.33
1951-01-31,0.0,10.12,22.78
1951-02-01,0.0,10.23,23.14
1951-02-02,0.0,10.39,24.17
1951-02-03,0.0,9.92,24.11
1951-02-04,0.0,9.12,24.05
1951-02-05,0.0,9.5,24.0
1951-02-06,0.0,10.75,25.65
1951-02-07,0.0,10.23,24.39
1951-02-08,0.0,10.53,25.24
1951-02-09,0.0,10.88,23.13
1951-02-10,0.0,11.01,23.48
1951-02-11,0.0,12.75,23.91
1951-02-12,0.0,12.47,24.83
1951-02-13,0.0,10.56,24.96
1951-02-14,0.0,9.73,23.58
1951-02-15,0.0,10.7,22.54
1951-02-16,0.0,9.65,21.29
1951-02-17,0.0,9.31,22.07
1951-02-18,0.0,10.46,24.46
1951-02-19,0.0,11.27,26.16
1951-02-20,0.0,12.56,26.34
1951-02-21,0.0,13.07,25.53
1951-02-22,0.0,11.94,26.02
1951-02-23,0.0,13.96,26.42
1951-02-24,0.0,13.41,26.89
1951-02-25,0.0,12.85,25.63
1951-02-26,0.0,13.42,26.56
1951-02-27,0.0,12.99,27.04
1951-02-28,0.0,13.09,27.23
1951-03-01,0.0,12.38,27.9
1951-03-02,0.0,13.97,27.76
1951-03-03,0.0,14.33,28.49
1951-03-04,0.0,14.2,27.87
1951-03-05,0.0,13.86,28.21
1951-03-06,0.0,15.07,28.75
1951-03-07,0.0,16.15,28.82
1951-03-08,0.0,16.96,29.49
1951-03-09,0.0,16.77,29.47
1951-03-10,0.0,17.63,29.86
1951-03-11,0.0,17.91,30.32
1951-03-12,0.0,18.1,30.92
1951-03-13,0.0,17.63,30.33
1951-03-14,0.0,16.95,31.19
1951-03-15,0.0,13.93,30.89
1951-03-16,0.0,14.0,31.0
1951-03-17,0.1276,14.46,29.78
1951-03-18,0.0,15.65,28.74
1951-03-19,0.0,16.33,28.79
1951-03-20,0.0,16.77,25.79
1951-03-21,0.0,15.08,26.27
1951-03-22,0.0,14.45,27.11
1951-03-23,1.1487,14.42,26.25
1951-03-24,3.1864,15.39,27.18
1951-03-25,0.2393,17.1,28.51
1951-03-26,3.6312,17.18,28.43
1951-03-27,0.0,15.92,25.21
1951-03-28,0.0,17.41,27.24
1951-03-29,0.0,18.0,29.14
1951-03-30,0.2138,17.94,29.04
1951-03-31,7.4495,16.01,24.63
1951-04-01,0.4446,14.96,21.53
1951-04-02,1.5629,15.69,25.37
1951-04-03,13.4571,16.92,27.71
1951-04-04,0.1811,18.23,27.22
1951-04-05,0.0,18.53,28.87
1951-04-06,0.0,19.43,30.74
1951-04-07,0.0,20.78,31.6
1951-04-08,0.0,20.87,32.94
1951-04-09,0.0,20.58,33.31
1951-04-10,0.0,19.39,32.92
1951-04-11,0.0,15.92,30.97
1951-04-12,0.0,16.54,30.43
1951-04-13,0.0,17.31,30.83
1951-04-14,0.0,17.18,30.71
1951-04-15,1.2995,18.64,31.2
1951-04-16,4.2698,18.24,30.41
1951-04-17,0.0,19.24,27.59
1951-04-18,1.3281,19.2,29.99
1951-04-19,16.279,19.19,28.96
1951-04-20,23.2862,17.01,27.84
1951-04-21,3.2007,15.23,27.14
1951-04-22,6.9309,16.69,27.29
1951-04-23,5.5523,16.49,27.21
1951-04-24,7.9291,16.93,26.39
1951-04-25,4.4794,17.45,25.65
1951-04-26,11.2721,18.33,25.63
1951-04-27,4.1826,18.86,28.06
1951-04-28,18.3362,17.1,28.65
1951-04-29,0.9,18.06,27.81
1951-04-30,8.2068,17.76,27.07
1951-05-01,9.3731,17.93,27.17
1951-05-02,4.6019,18.77,27.56
1951-05-03,4.7375,17.43,26.76
1951-05-04,6.2848,18.91,28.2
1951-05-05,1.4131,19.29,26.96
1951-05-06,2.1395,19.31,26.97
1951-05-07,0.0,20.17,29.97
1951-05-08,0.0,20.99,30.95
1951-05-09,0.0,21.25,31.11
1951-05-10,20.1454,20.99,28.72
1951-05-11,0.2972,20.67,29.24
1951-05-12,15.9369,20.75,29.18
1951-05-13,0.0,22.57,29.11
1951-05-14,0.3125,20.6,30.04
1951-05-15,0.0,20.67,28.22
1951-05-16,5.6163,22.89,30.93
1951-05-17,16.6926,22.84,29.26
1951-05-18,3.7403,22.87,30.88
