Date,Rain,tMin,tMax
1951-01-01,0.0,9.01,23.36
1951-01-02,0.0,9.24,23.06
1951-01-03,0.0,9.4,23.07
1951-01-04,0.0,8.61,22.77
1951-01-05,0.0,8.48,22.85
1951-01-06,0.0,10.11,23.1
1951-01-07,0.0,9.04,22.92
1951-01-08,0.0,8.72,22.74
1951-01-09,0.0,9.25,22.99
1951-01-10,0.0,9.35,22.11
1951-01-11,0.0,8.58,22.38
1951-01-12,0.0,9.07,21.99
1951-01-13,0.0,9.98,22.47
1951-01-14,0.0,9.47,23.71
1951-01-15,0.0,9.59,22.96
1951-01-16,0.0,9.99,22.95
1951-01-17,0.0,10.68,23.26
1951-01-18,0.0,11.23,20.59
1951-01-19,0.0,8.63,22.02
1951-01-20,0.0,8.57,22.57
1951-01-21,0.0,9.28,22.44
1951-01-22,0.0,9.05,23.21
1951-01-23,0.0,8.84,22.38
1951-01-24,0.0,8.8,21.82
1951-01-25,0.0,8.01,21.8
1951-01-26,0.0,7.52,21.63
1951-01-27,0.0,7.65,21.92
1951-01-28,0.0,7.41,22.39
1951-01-29,0.0,8.34,22.77
1951-01-30,0.0,8.69,22.48
1951-01-31,0.0,9.56,23.1
1951-02-01,0.0,9.57,23.84
1951-02-02,0.0,10.38,24.58
1951-02-03,0.0,10.01,24.46
1951-02-04,0.0,8.93,24.63
1951-02-05,0.0,9.48,24.92
1951-02-06,0.0,10.13,26.22
1951-02-07,0.0,10.19,25.51
1951-02-08,0.0,10.26,25.69
1951-02-09,0.0,11.1,24.94
1951-02-10,0.0,10.6,24.4
1951-02-11,0.0,12.59,24.65
1951-02-12,0.0,12.77,25.49
1951-02-13,0.0,10.55,25.65
1951-02-14,0.0,9.33,25.09
1951-02-15,0.0,11.04,23.83
1951-02-16,0.0,10.01,22.24
1951-02-17,0.0,9.49,23.74
1951-02-18,0.0,10.4,25.14
1951-02-19,0.0,11.2,26.28
1951-02-20,0.0,12.75,26.63
1951-02-21,0.0,12.26,25.0
1951-02-22,0.0,11.7,25.92
1951-02-23,0.0,13.66,26.34
1951-02-24,0.0,13.5,26.89
