Date,Rain,tMin,tMax
1951-01-01,0.0,10.04,24.52
1951-01-02,0.0,10.21,24.0
1951-01-03,0.0,10.24,24.09
1951-01-04,0.0,9.79,23.99
1951-01-05,0.0,9.24,24.06
1951-01-06,0.0,10.81,24.25
1951-01-07,0.0,9.89,24.15
1951-01-08,0.283,9.29,23.89
1951-01-09,0.0,9.93,24.0
1951-01-10,0.0,9.72,23.4
1951-01-11,0.0,9.21,23.32
1951-01-12,0.0,9.89,23.25
1951-01-13,0.0,10.61,23.35
1951-01-14,0.0,10.34,24.62
1951-01-15,0.0,10.95,24.3
1951-01-16,0.0,11.2,24.28
1951-01-17,1.6527,12.02,24.0
1951-01-18,0.8925,12.66,21.36
1951-01-19,0.0,10.08,22.32
1951-01-20,0.0,10.48,23.17
1951-01-21,0.0,10.65,22.97
1951-01-22,0.7996,10.72,24.51
1951-01-23,0.0,10.68,23.38
1951-01-24,0.0,10.41,22.5
1951-01-25,0.0,9.43,22.69
1951-01-26,0.0,8.82,22.81
1951-01-27,0.0,9.02,23.12
1951-01-28,0.0,8.96,23.16
1951-01-29,0.0,9.8,23.15
1951-01-30,0.0,10.45,23.23
1951-01-31,0.0,11.02,23.33
1951-02-01,0.0,11.13,24.09
1951-02-02,0.0,11.59,24.89
1951-02-03,0.0,11.1,24.6
1951-02-04,0.0,10.3,25.02
1951-02-05,0.0,10.97,24.98
1951-02-06,0.0,11.6,26.31
1951-02-07,0.0,11.2,25.08
1951-02-08,0.0,11.22,26.15
1951-02-09,0.0,12.22,24.73
1951-02-10,0.1032,11.9,24.77
1951-02-11,0.0,13.92,24.87
1951-02-12,0.0,13.54,25.44
1951-02-13,0.0,11.44,25.79
1951-02-14,0.0,11.01,25.2
1951-02-15,0.0,11.98,23.55
1951-02-16,0.0,10.95,22.11
1951-02-17,0.0,10.72,23.56
1951-02-18,0.0,11.82,24.96
1951-02-19,0.3858,12.6,26.23
1951-02-20,0.7402,14.04,26.85
1951-02-21,0.0,14.11,25.51
1951-02-22,0.6146,13.57,26.62
1951-02-23,0.3768,15.24,26.66
1951-02-24,0.0,15.06,27.35
1951-02-25,0.0,14.73,25.97
1951-02-26,0.0,15.05,27.23
1951-02-27,0.0,14.09,27.42
1951-02-28,0.0,14.43,27.86
